"pair_id","pair_label","source_group","family","genus","n_sequences","n_species","n_pair_scorable","pair_scorable_fraction","forward_median_penalty","reverse_median_penalty","pair_median_penalty","pair_p90_penalty","perfect_match_fraction_among_scorable","terminal_3_mismatch_fraction_among_scorable"
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Nematocerus",1,1,1,1,22.4,11.75,34.15,34.15,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Niphades",1,1,1,1,19.62,58.05,77.67,77.67,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Odoiporus",1,1,1,1,0,211.65,211.65,211.65,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Orthotomicus",1,1,1,1,16.75,312.05,328.8,328.8,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Pimelocerus",1,1,1,1,64.05,130.5,194.55,194.55,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Pityogenes",1,1,1,1,9.15,187.65,196.8,196.8,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Rhyncholobus",1,1,1,1,0,103.05,103.05,103.05,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Scolytoplatypus",1,1,1,1,53.4,18.7,72.1,72.1,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Scolytus",1,1,1,1,55.9,5.1,61,61,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Sirocalodes",1,1,1,1,8.9,0,8.9,8.9,0,0
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Sternochetus",1,1,1,1,13.2,96.95,110.15,110.15,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Tomicus",1,1,1,1,55.9,90,145.9,145.9,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Trigonopterus",3,3,3,1,242,132.17,410.27,418.87,0,1
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Trypodendron",1,1,0,0,,102.8,,,,
"ZBJ_ART","ZBJ-Art","Coleoptera","Curculionidae","Xylosandrus",2,2,2,1,108.875,26.05,134.925,198.825,0,0.5
"ZBJ_ART","ZBJ-Art","Coleoptera","Dermestidae","Trogoderma",1,1,1,1,497.7,29.9,527.6,527.6,0,1
