"pair_id","pair_label","source_group","family","n_sequences","n_species","n_pair_scorable","pair_scorable_fraction","forward_median_penalty","reverse_median_penalty","pair_median_penalty","pair_p90_penalty","perfect_match_fraction_among_scorable","terminal_3_mismatch_fraction_among_scorable"
"ZBJ_ART_DEG","ZBJ-Art degenerate","Acari","Rhinonyssidae",1,1,1,1,619.2,27.8,647,647,0,1
"ZBJ_ART_DEG","ZBJ-Art degenerate","Acari","Sarcoptidae",2,1,2,1,20.4,17.8,38.2,38.2,0,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Acari","Sperchontidae",1,1,1,1,250.64,0,250.64,250.64,0,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Acari","Tetranychidae",8,5,8,1,140.02,2.8,140.02,145.62,0,1
"ZBJ_ART_DEG","ZBJ-Art degenerate","Acari","Trombiculidae",4,4,4,1,944.015,2.8,957.85,1045.86,0,1
"ZBJ_ART_DEG","ZBJ-Art degenerate","Acari","Unionicolidae",1,1,1,1,250.64,0,250.64,250.64,0,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Acari","Urodinychidae",1,1,1,1,179.4,117.13,296.53,296.53,0,1
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Attelabidae",1,1,1,1,0,6.45,6.45,6.45,0,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Brentidae",4,1,4,1,169.8,27.67,197.47,197.47,0,1
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Buprestidae",2,2,2,1,0,15.125,15.125,18.265,0,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Cantharidae",3,3,3,1,0,0,0,8.6,0.666666666666667,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Carabidae",10,9,10,1,0,0,0,32.838,0.6,0.1
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Cerambycidae",16,16,16,1,0,6.45,18.61,97.255,0.1875,0.0625
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Cerophytidae",1,1,1,1,0,0,0,0,1,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Chrysomelidae",19,19,18,0.947368421052632,0,6.45,11.2,67.423,0.277777777777778,0.0555555555555556
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Cleridae",4,4,4,1,0,6.45,7.425,10.36,0,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Coccinellidae",9,9,9,1,0,17.65,46.12,118.42,0.222222222222222,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Cucujidae",2,2,2,1,41.535,8.825,50.36,76.528,0,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Curculionidae",36,36,35,0.972222222222222,0,6.45,7.85,125.78,0.342857142857143,0.114285714285714
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Dermestidae",1,1,1,1,229.55,11.2,240.75,240.75,0,1
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Dytiscidae",14,14,7,0.5,0,9.3,10.75,32.458,0.285714285714286,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Elateridae",4,4,4,1,0,0,0,7.84,0.75,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Gyrinidae",1,1,1,1,17.62,0,17.62,17.62,0,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Hydraenidae",6,6,0,0,,0,,,,
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Hydrophilidae",1,1,1,1,0,6.45,6.45,6.45,0,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Lampyridae",10,10,10,1,3.2,11.2,11.2,19.617,0,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Lucanidae",5,5,5,1,188.12,6.45,207.17,225.582,0,0.6
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Lycidae",1,1,1,1,29.38,0,29.38,29.38,0,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Lymexylidae",6,4,6,1,13.1,17.65,26.05,45.44,0,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Meloidae",5,5,5,1,77.82,65.17,142.99,155.98,0,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Melyridae",3,3,3,1,0,0,0,167.44,0.666666666666667,0.333333333333333
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Nitidulidae",9,9,9,1,0,7.85,8.4,80.4459999999999,0.333333333333333,0.111111111111111
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Ptinidae",1,1,0,0,,0,,,,
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Rhagophthalmidae",2,2,2,1,0,0,0,0,1,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Scarabaeidae",27,18,27,1,0,0,11.2,124.178,0.481481481481481,0.037037037037037
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Silphidae",1,1,1,1,0,11.2,11.2,11.2,0,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Silvanidae",1,1,1,1,8.4,10.75,19.15,19.15,0,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Staphylinidae",5,5,4,0.8,7,0,19.75,53.99,0.5,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Tenebrionidae",14,12,14,1,0,0,0,142.991,0.571428571428571,0.0714285714285714
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Tetratomidae",2,2,2,1,14.69,0,14.69,26.442,0.5,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Trogidae",1,1,1,1,0,0,0,0,1,0
"ZBJ_ART_DEG","ZBJ-Art degenerate","Coleoptera","Vesperidae",1,1,1,1,59.75,205.95,265.7,265.7,0,1
